Datum,Ukupan.broj,Zarazenih.na.milion,Broj.testiranih,Broj.testiranih.dnevno,Pozitivni.novi,Stopa.testiranja,Stopa.novih.slucajeva,Negativni,Hospitalizovano,Broj na respriratoru,Ukupan.broj.smrti,Procenat.smrtnosti
3/3/2020,0,0,46,4,0,,0,4,,,0,0
3/4/2020,0,0,50,6,0,1.5,0,6,,,0,0
3/5/2020,0,0,56,11,0,1.833333333,0,11,,,0,0
3/6/2020,1,0.114342886,67,24,1,2.181818182,0,23,,,0,0
3/7/2020,1,0.114342886,91,3,0,0.125,1,0,,,0,0
3/8/2020,1,0.114342886,94,7,0,2.333333333,1,3,,,0,0
3/9/2020,2,0.228685771,101,16,1,2.285714286,2,6,,,0,0
3/10/2020,5,0.571714429,117,34,3,2.125,2.5,8,,,0,0
3/11/2020,18,2.058171943,151,34,13,1,3.6,15,,,0,0
3/12/2020,24,2.744229257,185,54,6,1.588235294,1.333333333,20,,,0,0
3/13/2020,35,4.002001001,239,29,11,0.537037037,1.458333333,21,,,0,0
3/14/2020,46,5.259772744,268,15,11,0.517241379,1.314285714,7,,,0,0
3/15/2020,48,5.488458515,283,33,2,2.2,1.043478261,13,,,0,0
3/16/2020,57,6.517544487,316,58,9,1.757575758,1.1875,13,,,0,0
3/17/2020,72,8.232687772,374,66,15,1.137931034,1.263157895,32,,,0,0
3/18/2020,89,10.17651683,440,66,17,1,1.236111111,13,,,0,0
3/19/2020,103,11.77731723,506,118,14,1.787878788,1.157303371,14,,,0,0
3/20/2020,135,15.43628957,624,48,32,0.406779661,1.310679612,23,,,1,0.740740741
3/21/2020,171,19.55263346,672,89,36,1.854166667,1.266666667,26,,,1,0.584795322
3/22/2020,222,25.38412063,761,61,51,0.685393258,1.298245614,27,,,2,0.900900901
3/23/2020,249,28.47137855,822,61,27,1,1.121621622,34,,,2,0.803212851
3/24/2020,303,34.64589438,916,94,54,1.540983607,1.21686747,40,,,3,0.99009901
3/25/2020,384,43.90766812,1161,245,81,2.606382979,1.267326733,164,,,4,1.041666667
3/26/2020,457,52.25469878,1456,295,73,1.204081633,1.190104167,222,,,7,1.531728665
3/27/2020,528,60.37304366,1715,259,71,0.877966102,1.15536105,188,,,8,1.515151515
3/28/2020,659,75.3519617,2086,371,131,1.432432432,1.248106061,240,,,10,1.517450683
3/29/2020,741,84.72807832,2462,376,82,1.013477089,1.124430956,294,,,13,1.754385965
3/30/2020,785,89.7591653,3084,622,44,1.654255319,1.059379217,578,540,62,16,2.038216561
3/31/2020,900,102.9085972,3561,477,115,0.766881029,1.146496815,362,,,23,2.555555556
4/1/2020,1060,121.2034589,4198,810,160,1.698113208,1.177777778,650,,,28,2.641509434
4/2/2020,1171,133.8955192,5008,637,111,0.786419753,1.104716981,526,783,81,31,2.647309991
4/3/2020,1476,168.7700993,5756,748,305,1.174254317,1.260461144,443,874,81,39,2.642276423
4/4/2020,1624,185.6928464,6401,645,148,0.862299465,1.100271003,497,1046,89,44,2.709359606
4/5/2020,1908,218.1691946,7360,959,284,1.486821705,1.149820341,675,1082,98,51,2.672955975
