Zemlja,Ukupan.broj,Broj.na.1M.stanovnika,Smrtni.slucajevi,Smrtni.slucajevi.na.1M,Populacija
Srbija,1908,218.1692444,51,5.831567855,"8,745,504"
Hrvatska,1182,287.5140808,15,3.648655847,"4,111,103"
Bugarska,531,76.28780934,20,2.873363817,6960483
S. Makedonija,555,266.3922427,18,8.639748411,"2,083,394"
Slovenija,997,479.5870068,28,13.46884272,"2,078,872"
Madjarska,733,75.83258854,34,3.517473411,"9,666,029"
Rumunija,3864,200.5475196,151,7.837131332,"19,267,254"
Albanija,361,125.4114085,20,6.94800047,"2,878,526"
BiH,654,199.0550667,23,7.000407545,"3,285,523"
Crna Gora,214,340.7382875,2,3.184469977,"628,048"
Grcka,1735,166.2704447,73,6.995816981,"10,434,807"
